date,EstimatedCost,RawMaterial,Workmanship,StorageCost
1/1/19,1094,211,386,40
2/1/19,2850,523,199,49
3/1/19,2168,580,236,39
4/1/19,1370,368,559,34
5/1/19,2429,550,291,33
6/1/19,1644,143,395,31
7/1/19,1641,640,497,30
8/1/19,2340,673,472,29
9/1/19,2327,90,31,32
10/1/19,1486,398,528,33
11/1/19,383,21,48,34
12/1/19,451,416,441,38
1/1/20,900,514,60,42
2/1/20,1653,201,558,43
3/1/20,1070,271,32,42
4/1/20,443,452,149,43
5/1/20,2473,344,223,50
6/1/20,1453,478,17,50
7/1/20,1659,599,276,55
8/1/20,761,673,392,48
9/1/20,930,469,43,40